episodio,recompensa,epsilon,tubos_pasados
8211,-6.90,0.6633,0
8212,-3.90,0.6632,0
8213,-2.70,0.6632,0
8214,-2.70,0.6632,0
8215,-7.50,0.6631,0
8216,-6.90,0.6631,0
8217,-6.30,0.6631,0
8218,-7.50,0.6630,0
8219,-5.10,0.6630,0
8220,-6.90,0.6630,0
8221,0.90,0.6629,0
8222,-5.70,0.6629,0
8223,-4.50,0.6629,0
8224,-8.10,0.6628,0
8225,-5.70,0.6628,0
8226,-6.90,0.6628,0
8227,-5.10,0.6627,0
8228,-6.30,0.6627,0
8229,-6.30,0.6627,0
8230,-4.50,0.6626,0
8231,-2.10,0.6626,0
8232,-7.50,0.6626,0
8233,-5.10,0.6625,0
8234,-5.70,0.6625,0
8235,-5.10,0.6625,0
8236,-6.30,0.6624,0
8237,-5.10,0.6624,0
8238,-6.30,0.6624,0
8239,-7.50,0.6624,0
8240,-3.90,0.6623,0
8241,-0.90,0.6623,0
8242,-5.10,0.6623,0
8243,-4.50,0.6622,0
8244,-6.90,0.6622,0
8245,-6.90,0.6622,0
8246,-6.30,0.6621,0
8247,-6.30,0.6621,0
8248,-6.30,0.6621,0
8249,-7.50,0.6620,0
8250,-3.90,0.6620,0
8251,-3.30,0.6620,0
8252,-4.50,0.6619,0
8253,-3.30,0.6619,0
8254,-6.90,0.6619,0
8255,-4.50,0.6618,0
8256,-7.50,0.6618,0
8257,-6.90,0.6618,0
8258,0.30,0.6617,0
8259,-5.10,0.6617,0
8260,-6.30,0.6617,0
8261,-6.90,0.6616,0
8262,-6.30,0.6616,0
8263,-6.30,0.6616,0
8264,-5.10,0.6615,0
8265,-6.90,0.6615,0
8266,-7.50,0.6615,0
8267,-6.30,0.6614,0
8268,-8.10,0.6614,0
8269,-7.50,0.6614,0
8270,-8.10,0.6613,0
8271,-5.10,0.6613,0
8272,-7.50,0.6613,0
8273,-5.70,0.6612,0
8274,-4.50,0.6612,0
8275,-6.30,0.6612,0
8276,-5.10,0.6611,0
8277,-8.10,0.6611,0
8278,-4.50,0.6611,0
8279,-3.90,0.6610,0
8280,0.30,0.6610,0
8281,-5.10,0.6610,0
8282,-3.30,0.6609,0
8283,-1.50,0.6609,0
8284,-5.70,0.6609,0
8285,-5.70,0.6608,0
8286,-4.50,0.6608,0
8287,3.90,0.6608,3
8288,-6.90,0.6607,0
8289,-8.10,0.6607,0
8290,-3.30,0.6607,0
8291,-6.30,0.6606,0
8292,-3.90,0.6606,0
8293,1.50,0.6606,1
8294,-3.90,0.6605,0
8295,-2.70,0.6605,0
8296,-3.90,0.6605,0
8297,-4.50,0.6604,0
8298,-6.30,0.6604,0
8299,-2.10,0.6604,0
8300,-7.50,0.6603,0
8301,-6.90,0.6603,0
8302,-4.50,0.6603,0
8303,-5.70,0.6602,0
8304,-4.50,0.6602,0
8305,-7.50,0.6602,0
8306,-2.70,0.6601,0
8307,-5.10,0.6601,0
8308,-4.50,0.6601,0
